Sampling_site,Date,latitude,longitude,MIN_temp,MAX_temp,MEAN_temp,MIN_hum,MAX_hum,MEAN_hum,AB_Culex_pipiens_spp,AB_Culex_mimeticus,AB_Culex_modestus,AB_Culex_spp,AB_Culiseta_annulata,AB_Culiseta_morsitans,AB_Culiseta_spp,AB_Coquilletidia_richardii,AB_Aedes_vexans,AB_Aedes_cinereus_geminus,AB_Aedes_rossicus,AB_Aedes_caspius,AB_Aedes_cataphylla,AB_Aedes_annulipes_cantans,AB_Aedes_geniculatus,AB_Aedes_sticticus,AB_Aedes_spp,AB_Anopheles_plumbeus,AB_Anopheles_claviger,AB_Anopheles_spp,AB_unidentified,WNV_Culex_pipiens_spp,
RB,17/06/2024,52.462542,13.370689,14.6,29.1,20.76666667,39.9,93.1,70.58695652,28,0,0,0,0,0,1,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,
RB,18/06/2024,52.462542,13.370689,15.1,27.1,17.80833333,47.4,100,90.55,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,
RB,19/06/2024,52.462542,13.370689,11.6,25.1,17.18333333,43.3,97.8,76.7,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,20/06/2024,52.462542,13.370689,16.6,22.6,19.33333333,46.9,82.4,66.28,47,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,15/07/2024,52.462542,13.370689,20.1,29.1,23.1,35.2,76,62.15416667,174,0,1,13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,
RB,16/07/2024,52.462542,13.370689,14.1,25.1,20.18333333,49.7,98.7,76.68333333,12,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
RB,17/07/2024,52.462542,13.370689,15.1,27.6,21.1,38.5,94.1,65.96666667,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,18/07/2024,52.462542,13.370689,16.1,26.6,19.81428571,41.6,91,72.76428571,65,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
RB,12/08/2024,52.462542,13.370689,16.6,30.1,22.80833333,36.1,80.2,56.61666667,49,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,
RB,13/08/2024,52.462542,13.370689,18.6,33.1,24.82916667,34,66.1,50.52916667,63,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,14/08/2024,52.462542,13.370689,20.1,29.6,24.975,38.7,97.2,73.525,27,0,1,1,0,0,0,0,17,1,0,1,0,0,0,0,0,0,0,0,0,0,
RB,15/08/2024,52.462542,13.370689,18.1,28.1,21.36666667,57.4,95.1,83.60666667,40,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,09/09/2024,52.462542,13.370689,15.1,19.6,17.4,51.1,95.6,78.688,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,10/09/2024,52.462542,13.370689,15.1,19.1,16.225,54.1,85.7,73.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,11/09/2024,52.462542,13.370689,10.1,16.6,13.20416667,46.4,82.8,69.375,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RB,12/09/2024,52.462542,13.370689,10.6,16.1,12.03333333,50.8,85.4,74.02666667,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RA,17/06/2024,52.456579,13.362565,14.1,29.6,21.37083333,42.3,95.8,70.07826087,201,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,
RA,18/06/2024,52.456579,13.362565,14.6,26.6,17.5375,48.5,100,92.5875,96,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,
RA,19/06/2024,52.456579,13.362565,10.6,24.6,17.62083333,41.9,98.2,76.08333333,373,0,0,0,0,0,0,5,10,0,0,1,0,0,0,0,0,1,0,0,0,0,
RA,20/06/2024,52.456579,13.362565,17.1,23.6,19.16666667,47.5,81.6,69.22,86,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,
RA,15/07/2024,52.456579,13.362565,NA,NA,NA,NA,NA,NA,531,0,4,27,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5,
RA,16/07/2024,52.456579,13.362565,NA,NA,NA,NA,NA,NA,128,0,10,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
RA,17/07/2024,52.456579,13.362565,NA,NA,NA,NA,NA,NA,301,0,9,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,
RA,18/07/2024,52.456579,13.362565,NA,NA,NA,NA,NA,NA,218,0,3,23,2,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,4,
RA,12/08/2024,52.456579,13.362565,16.6,35.6,23.1625,27.1,80.2,58.23333333,111,0,1,2,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,
RA,13/08/2024,52.456579,13.362565,19.1,37.1,25.62083333,31.2,62.7,48.475,70,0,0,5,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,
RA,14/08/2024,52.456579,13.362565,19.6,31.6,24.7875,42.9,100,76.675,105,0,0,8,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,
RA,15/08/2024,52.456579,13.362565,17.6,28.6,20.83333333,57,99.4,87.04666667,88,0,0,23,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,
RA,09/09/2024,52.456579,13.362565,14.6,20.1,17.08,54.3,99.9,81.468,28,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
RA,10/09/2024,52.456579,13.362565,15.1,19.1,16.14166667,56.2,85.1,73.925,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RA,11/09/2024,52.456579,13.362565,9.1,17.1,12.89166667,48.6,87.7,73.10833333,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RA,12/09/2024,52.456579,13.362565,9.1,16.1,11,57.1,92.8,83.34,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
C,17/06/2024,52.457804,13.366372,14.1,26.6,19.49583333,50.2,98.4,77.88478261,100,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,5,5,0,0,0,0,
C,18/06/2024,52.457804,13.366372,14.1,25.1,16.9125,55.7,100,95.73541667,53,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,2,3,0,0,0,0,
C,19/06/2024,52.457804,13.366372,11.1,22.6,15.81875,52.8,100,85.78125,38,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,
C,20/06/2024,52.457804,13.366372,16.1,21.1,18.1,57.2,92.2,78.72666667,181,0,1,0,0,0,1,2,2,0,0,0,0,1,2,0,1,10,0,0,1,0,
C,15/07/2024,52.457804,13.366372,19.1,27.1,21.975,40.1,81.8,68.75,284,0,4,11,0,0,0,1,0,0,0,0,0,0,2,0,1,25,0,2,0,0,
C,16/07/2024,52.457804,13.366372,13.6,24.6,19.07916667,55.5,99.2,81.10416667,108,0,8,6,0,0,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,1,
C,17/07/2024,52.457804,13.366372,14.1,25.6,20.0375,45,94.8,70.49583333,152,0,8,11,1,0,0,0,0,1,0,0,0,0,2,0,0,20,0,0,0,1,
C,18/07/2024,52.457804,13.366372,15.6,25.1,18.77857143,50.1,94.2,76.72857143,173,0,4,24,0,0,0,0,0,1,0,0,0,0,2,0,0,25,0,1,0,2,
C,12/08/2024,52.457804,13.366372,16.6,28.6,21.89166667,38.9,87,61.2625,138,0,12,5,0,0,0,0,8,0,0,0,0,0,0,0,1,26,0,0,0,2,
C,13/08/2024,52.457804,13.366372,18.6,31.1,24.26666667,35.6,64.8,52.2,178,0,10,6,0,0,0,0,12,2,0,0,0,0,1,1,0,41,0,0,0,1,
C,14/08/2024,52.457804,13.366372,19.6,28.6,23.6625,49.2,96.3,79.57083333,78,0,7,2,0,0,0,0,0,2,0,0,0,0,0,0,2,16,0,0,0,0,
C,15/08/2024,52.457804,13.366372,17.1,26.6,20.36666667,64.2,97.2,87.58,51,0,4,2,0,1,0,0,1,1,0,0,0,0,1,0,0,26,0,0,0,0,
