"site"	"Date"	"latitude"	"longitude"	"MIN_temp"	"MAX_temp"	"MEAN_temp"	"MIN_hum"	"MAX_hum"	"MEAN_hum"	"AB_Culex_pipiens_ss"	"AB_Culex_mimeticus"	"AB_Culex_modestus"	"AB_Culex_sp"	"AB_Culiseta_annulata"	"AB_Culiseta_morsitans"	"AB_Culiseta_sp"	"AB_Coquilletidia_richardii"	"AB_Aedes_vexans"	"AB_Aedes_cinereus_geminus"	"AB_Aedes_rossicus"	"AB_Aedes_caspius"	"AB_Aedes_cataphylla"	"AB_Aedes_annulipes_cantans"	"AB_Aedes_geniculatus"	"AB_Aedes_sticticus"	"AB_Aedes_sp"	"AB_Anopheles_plumbeus"	"AB_Anopheles_claviger"	"AB_Anopheles_sp"	"AB_unidentified"	"WNV_Culex_pipiens_ss"	"WNV_Culex_sp"	"WNV_Aedes_vexans"	"WNV_Anopheles_plumbeus"	"WNV_unidentified"
"RB"	"19.06.2023"	"52.462542"	"13.370689"	18.1	26.6	21.63541667	45.8	99.6	76.68125	51	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"RB"	"20.06.2023"	"52.462542"	"13.370689"	19.6	30.1	23.225	47.5	100	82.30416667	7	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
"RB"	"21.06.2023"	"52.462542"	"13.370689"	18.6	29.6	23.74583333	36.4	90.9	64.62291667	19	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RB"	"22.06.2023"	"52.462542"	"13.370689"	17.1	27.6	19.68529412	46.6	100	86.51764706	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"RB"	"17.07.2023"	"52.462542"	"13.370689"	14.1	28.1	21.05208333	34.5	85.9	54.68958333	47	0	0	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RB"	"18.07.2023"	"52.462542"	"13.370689"	13.1	27.6	20.09375	36.5	83.2	58.88958333	131	0	0	41	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"RB"	"19.07.2023"	"52.462542"	"13.370689"	14.6	24.1	18.27916667	48.9	100	81.55208333	2	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"RB"	"20.07.2023"	"52.462542"	"13.370689"	10.6	21.2	15.26764706	53.7	94.6	79.42058824	116	0	0	53	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RB"	"21.08.2023"	"52.462542"	"13.370689"	19.1	26.1	22.22708333	45.8	79	62.975	21	0	0	2	0	0	0	0	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"RB"	"22.08.2023"	"52.462542"	"13.370689"	15.1	27.1	20.66666667	43.9	94.9	73.00208333	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"RB"	"23.08.2023"	"52.462542"	"13.370689"	16.1	28.6	21.45833333	45.4	91.7	68.72916667	7	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"RB"	"24.08.2023"	"52.462542"	"13.370689"	19.6	30.1	22.40882353	52.3	87.2	70.96470588	19	0	0	6	0	0	0	0	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"RB"	"11.09.2023"	"52.462542"	"13.370689"	15.6	30.6	21.6875	42.4	91.7	70.56458333	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
