"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","c","Species richness",14,14,0.962445612029856,14,15.8863587366571
"2","c","Shannon diversity",2.26321830743881,2.26787867974417,0.0461106685601127,2.17750343006329,2.35825392942505
"3","c","Simpson diversity",1.67028068500154,1.67062354681886,0.0264959396576815,1.61869245935326,1.72255463428446
"4","n","Species richness",13,13.4998796051047,1.43874097238827,13,16.3197600940679
"5","n","Shannon diversity",2.05942384013849,2.06267655753724,0.0368239533179971,1.99050293526558,2.1348501798089
"6","n","Simpson diversity",1.47629910084586,1.47646847478781,0.0188376683667753,1.43954732323622,1.5133896263394
"7","ra","Species richness",14,15.9991514637251,2.73196100836664,14,21.3536966472914
"8","ra","Shannon diversity",1.85491662708639,1.86121867762622,0.044963529541244,1.77309177910757,1.94934557614486
"9","ra","Simpson diversity",1.37111014418569,1.37132615142074,0.0209442158644257,1.33027624264204,1.41237606019945
"10","rb","Species richness",12,12.6655791190865,3.69669688611545,12,19.9109718776341
"11","rb","Shannon diversity",2.71860308675311,2.74701501288864,0.134828992132588,2.48275504423693,3.01127498154035
"12","rb","Simpson diversity",2.05530304273392,2.05885322913465,0.0716370140996536,1.91844726153934,2.19925919672996
"13","s","Species richness",12,12.666346922462,3.13949766828983,12,18.8196492818576
"14","s","Shannon diversity",1.95188126558423,1.95785040913765,0.0410684084006181,1.87735780777006,2.03834301050524
"15","s","Simpson diversity",1.53627227824066,1.53666770640372,0.0225310156886532,1.49250772711885,1.58082768568858
