"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","fried","Species richness",34,105.652892561983,56.6510576209873,34,216.686925185222
"2","fried","Shannon diversity",21.8933832676144,30.8676326011198,5.53671170308542,20.0158770702909,41.7193881319486
"3","fried","Simpson diversity",16.3586592178771,18.7596899224806,2.51446410528411,13.831430835705,23.6879490092561
"4","linde","Species richness",34,74.0824742268041,51.0272301267352,34,174.094007506042
"5","linde","Shannon diversity",22.2884598492516,32.2975087333958,5.6149090904381,21.2924891396706,43.302528327121
"6","linde","Simpson diversity",15.6555740432612,18.4761904761905,2.82900926107421,12.9314342125547,24.0209467398262
"7","malzf","Species richness",26,53.705223880597,28.7008389830085,26,109.957834613377
"8","malzf","Shannon diversity",16.5377714339834,24.8150776032444,5.07307894894118,14.8720255725913,34.7581296338974
"9","malzf","Simpson diversity",10.8168674698795,12.7068965517241,2.43497541366765,7.93443243769503,17.4793606657533
"10","rotha","Species richness",22,31.9206989247312,15.5378086736595,22,62.3742443237779
"11","rotha","Shannon diversity",13.9643206989566,18.6037214532321,2.74770048511946,13.2183274620947,23.9891154443694
"12","rotha","Simpson diversity",9.37560975609756,10.867816091954,2.12352858162699,6.70577655182367,15.0298556320843
"13","suedg","Species richness",35,98.5524475524475,43.2192980075467,35,183.260715084343
"14","suedg","Shannon diversity",22.3619932018548,29.5779458588385,4.10129967037407,21.5395462150993,37.6163455025777
"15","suedg","Simpson diversity",17.0550458715596,19.2291666666667,2.0058220365753,15.2978277155823,23.1605056177511
