"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","fried","Species richness",12,12.4998470480269,1.92218694557803,12,16.2672642329129
"2","fried","Shannon diversity",1.39917006600776,1.40177893321899,0.0256934857120452,1.35142062658609,1.45213723985189
"3","fried","Simpson diversity",1.13677157354358,1.13681915143347,0.00943076948644948,1.11833518289353,1.15530311997341
"4","linde","Species richness",13,14.9991586032814,3.3505626502693,13,21.5661407257543
"5","linde","Shannon diversity",1.35802713033632,1.36231295030091,0.0302760123358827,1.30297305652708,1.42165284407473
"6","linde","Simpson diversity",1.11056841918224,1.1106201024773,0.0103635779556365,1.09030786293327,1.13093234202132
"7","malzf","Species richness",10,10.1665877151429,2.23248300072763,10,14.542173992667
"8","malzf","Shannon diversity",1.28083625666379,1.28380960840097,0.02283165230325,1.23906039217906,1.32855882462288
"9","malzf","Simpson diversity",1.0925748265454,1.09262276463209,0.00811368919556077,1.07672022602704,1.10852530323714
"10","rotha","Species richness",12,12.6655844155844,3.09686939826432,12,18.7353369010067
"11","rotha","Shannon diversity",1.58454022941002,1.60108910569635,0.082157608145636,1.44006315267495,1.76211505871776
"12","rotha","Simpson diversity",1.19116769944563,1.19153807927232,0.0297725389788948,1.13318497514537,1.24989118339926
"13","suedg","Species richness",12,12.4998810090433,1.27222090439354,12,14.9933881620336
"14","suedg","Shannon diversity",1.51508234797294,1.51725744839489,0.028989746982171,1.4604385883889,1.57407630840087
"15","suedg","Simpson diversity",1.1674324452629,1.16747897557941,0.0103573295329656,1.14717898271879,1.18777896844004
